ID,Age_KA,infilT_s,<200um,depth_mm
MVHV101B,2.5880001,199,0,30
MVHV102B,2.5880001,226,54.32999808,43.33333333
MVHV103B,2.5880001,226,62.32874275,43.33333333
MVHV104A,2.5880001,247,42.72075975,30
MVHV104B,2.5880001,251,20.33533108,35
MVHV105A,23.0300007,261,96.76,31.66666667
MVHV105B,23.0300007,271,391.06,40
MVHV106A,2.5880001,279,0,25
MVHV107A,2.5880001,284,155.86,31.66666667
MVHV107B,2.5880001,288,156.31,41.66666667
MVMG200A,23.0300007,296,67.08813033,23.33333333
MVMG200B,23.0300007,310,5.28,13.33333333
MVMG201A,23.0300007,310,0,18.33333333
MVMG202A,23.0300007,314,8.74595375,3
MVMG202B,23.0300007,319,34.499255,28
MVMG203A,23.0300007,319,17.41268735,43.33333333
MVMG203B,23.0300007,326,50.09899242,43.33333333
MVMV300A,2.5880001,332,63.28147708,34.66666667
MVMV300B,2.5880001,333,147.28,25
MVMV301A,2.5880001,333,141.656693,30
MVMV301B,2.5880001,345,55.11,30
MVMV302A,2.5880001,353,0,43.33333333
MVMV302B,2.5880001,356,151.070416,35
MVMV303A,23.0300007,359,187.39,51.66666667
MVMV303B,23.0300007,359,33.56987125,43.33333333
MVMV303C,23.0300007,360,259.77,6.666666667
MVMV303D,23.0300007,361,200.05,15.33333333
MVMV304B,23.0300007,377,0,40
MVMV305B,2.5880001,381,0,41.66666667
MVMV306A,2.5880001,389,28.137718,26.33333333
VVIR200B,23.0300007,390,228.25,26
VVLV100A,23.0300007,403,83.90319633,22.33333333
VVLV101A,2.5880001,413,194.16,34.33333333
VVLV102A,23.0300007,437,108.79,30
VVLV103B,23.0300007,446,182.67,40
VVLV104A,23.0300007,460,33.10084233,35
VVUV300A,2.5880001,478,181.25,38
VVUV300B,2.5880001,484,837.8019037,27.33333333
VVUV301A,2.5880001,505,90.154841,1.666666667
VVUV303A,23.0300007,516,38.71085442,56
VVUV303B,23.0300007,573,0,31
VVUV304B,23.0300007,576,53.48,31.33333333
VVUV305B,23.0300007,662,0,30
VVUV305C,23.0300007,668,41.03450567,28.33333333
VVUV305D,23.0300007,750,349.02,30.66666667
VVUV306A,23.0300007,783,224.76,41.66666667
VVUV306B,23.0300007,811,135.48,48.33333333
VVUV308A,23.0300007,826,69.03318133,55
VVUV308B,23.0300007,829,0,54.33333333
VVUV309A,23.0300007,838,330.61,49.33333333
VVUV310A,2.5880001,870,82.432456,48.33333333
VVUV310B,2.5880001,900,220.34,36.66666667
VVUV311A,2.5880001,900,265.21,40
